event,lang,method,input,output,score,time_ms
diacritics_applied,yoruba,fuzzy_match,iamlearning,Mo ń kọ́ ẹ̀kọ́,0.9166666666666666,0
diacritics_applied,yoruba,fuzzy_match,how are you,Báwo ní?,0.9565217391304348,0
diacritics_applied,swahili,fuzzy_match,hell0,Hujambo,0.8,0
diacritics_applied,portuguese,exact_match,good morning,Bom dia,,0
diacritics_applied,portuguese,exact_match,good morning,Bom dia,,0
diacritics_applied,spanish,fuzzy_match,g00d m0rning,Buenos días,0.75,0
diacritics_applied,french,fuzzy_match,i ma learning,J'apprends,0.9230769230769231,0
diacritics_applied,german,fuzzy_match,how are you,Wie geht's?,0.9565217391304348,0
diacritics_applied,spanish,fuzzy_match,hellooo,Hola,0.8333333333333334,0
diacritics_applied,portuguese,fuzzy_match,i @m le@rning,Estou aprendendo,0.8461538461538461,0
diacritics_applied,hausa,fuzzy_match,hll,Sannu,0.75,0
diacritics_applied,yoruba,exact_match,good morning,Ẹ káàrọ̀,,0
diacritics_applied,yoruba,exact_match,good morning,Ẹ káàrọ̀,,0
diacritics_applied,spanish,fuzzy_match,how @re you?,¿Cómo estás?,0.9166666666666666,0
diacritics_applied,igbo,fuzzy_match,i ma learning,A na m amụta,0.9230769230769231,0
diacritics_applied,igbo,fuzzy_match,thankyou,Daalụ,0.9411764705882353,0
diacritics_applied,hausa,fuzzy_match,how are you???,Lafiya lau?,0.9230769230769231,0
diacritics_applied,french,fuzzy_match,how are you???,Comment ça va?,0.9230769230769231,0
diacritics_applied,spanish,fuzzy_match,thnk y,Gracias,0.8,0
diacritics_applied,vietnamese,fuzzy_match,how are you,Bạn khỏe không?,0.9565217391304348,0
diacritics_applied,portuguese,fuzzy_match,thank y0u,Obrigado/Obrigada,0.8888888888888888,0
diacritics_applied,igbo,fuzzy_match,i @m le@rning,A na m amụta,0.8461538461538461,0
diacritics_applied,yoruba,fuzzy_match,goodmorning,Ẹ káàrọ̀,0.9565217391304348,0
diacritics_applied,spanish,fuzzy_match,how aare you?,¿Cómo estás?,0.96,0
diacritics_applied,swahili,exact_match,how are you?,Habari gani?,,0
diacritics_applied,swahili,exact_match,how are you?,Habari gani?,,0
diacritics_applied,vietnamese,fuzzy_match,g00d m0rning,Chào buổi sáng,0.75,0
diacritics_applied,french,exact_match,hello,Bonjour,,0
diacritics_applied,french,exact_match,hello,Bonjour,,0
diacritics_applied,hausa,fuzzy_match,i aam leaarning,Ina koyo,0.9285714285714286,0
diacritics_applied,hausa,fuzzy_match,thnak you,Na gode,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,i @m le@rning,Ich lerne,0.8461538461538461,0
diacritics_applied,yoruba,fuzzy_match,i @m le@rning,Mo ń kọ́ ẹ̀kọ́,0.8461538461538461,0
diacritics_applied,vietnamese,fuzzy_match,i am learninggg,Tôi đang học,0.9285714285714286,0
diacritics_applied,spanish,fuzzy_match,iamlearning,Estoy aprendiendo,0.9166666666666666,0
diacritics_applied,swahili,fuzzy_match,g00d m0rning,Habari ya asubuhi,0.75,0
diacritics_applied,arabic,fuzzy_match,how @re you?,كيف حالك؟,0.9166666666666666,0
diacritics_applied,vietnamese,exact_match,hello,Xin chào,,0
diacritics_applied,vietnamese,exact_match,hello,Xin chào,,0
diacritics_applied,yoruba,fuzzy_match,thnak you,Ẹ ṣé,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,godo morning,Guten Morgen,0.9166666666666666,0
diacritics_applied,yoruba,fuzzy_match,gd mrnng,Ẹ káàrọ̀,0.8,0
diacritics_applied,yoruba,fuzzy_match,how are you???,Báwo ní?,0.9230769230769231,0
diacritics_applied,swahili,fuzzy_match,thank y0u,Asante,0.8888888888888888,0
diacritics_applied,yoruba,fuzzy_match,hellooo,Báwo,0.8333333333333334,0
diacritics_applied,hausa,fuzzy_match,ho ware you?,Lafiya lau?,0.9166666666666666,0
diacritics_applied,vietnamese,fuzzy_match,th@nk you,Cảm ơn,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,thaank you,Danke,0.9473684210526315,0
diacritics_applied,yoruba,exact_match,how are you?,Báwo ní?,,0
diacritics_applied,yoruba,exact_match,how are you?,Báwo ní?,,0
diacritics_applied,vietnamese,exact_match,thank you,Cảm ơn,,0
diacritics_applied,vietnamese,exact_match,thank you,Cảm ơn,,0
diacritics_applied,german,fuzzy_match,hellooo,Hallo,0.8333333333333334,0
diacritics_applied,arabic,fuzzy_match,thank youuu,شكراً,0.9,0
diacritics_applied,vietnamese,fuzzy_match,thank y0u,Cảm ơn,0.8888888888888888,0
diacritics_applied,arabic,fuzzy_match,thnak you,شكراً,0.8888888888888888,0
diacritics_applied,spanish,exact_match,hello,Hola,,0
diacritics_applied,spanish,exact_match,hello,Hola,,0
diacritics_applied,french,fuzzy_match,good morninggg,Bonjour,0.9230769230769231,0
diacritics_applied,vietnamese,fuzzy_match,godo morning,Chào buổi sáng,0.9166666666666666,0
diacritics_applied,hausa,fuzzy_match,i am learninggg,Ina koyo,0.9285714285714286,0
diacritics_applied,vietnamese,fuzzy_match,thank youuu,Cảm ơn,0.9,0
diacritics_applied,igbo,fuzzy_match,how @re you?,Kedu?,0.9166666666666666,0
diacritics_applied,arabic,fuzzy_match,th@nk you,شكراً,0.8888888888888888,0
diacritics_applied,portuguese,fuzzy_match,hellooo,Olá,0.8333333333333334,0
diacritics_applied,hausa,fuzzy_match,hellooo,Sannu,0.8333333333333334,0
diacritics_applied,french,fuzzy_match,thank y0u,Merci,0.8888888888888888,0
diacritics_applied,arabic,exact_match,thank you,شكراً,,0
diacritics_applied,arabic,exact_match,thank you,شكراً,,0
diacritics_applied,hausa,fuzzy_match,thankyou,Na gode,0.9411764705882353,0
diacritics_applied,arabic,fuzzy_match,i aam leaarning,أنا أتعلم,0.9285714285714286,0
diacritics_applied,arabic,fuzzy_match,godo morning,صباح الخير,0.9166666666666666,0
diacritics_applied,vietnamese,fuzzy_match,how are you???,Bạn khỏe không?,0.9230769230769231,0
diacritics_applied,hausa,fuzzy_match,how @re you?,Lafiya lau?,0.9166666666666666,0
diacritics_applied,swahili,fuzzy_match,thnak you,Asante,0.8888888888888888,0
diacritics_applied,portuguese,fuzzy_match,thank youuu,Obrigado/Obrigada,0.9,0
diacritics_applied,yoruba,fuzzy_match,thankyou,Ẹ ṣé,0.9411764705882353,0
diacritics_applied,spanish,fuzzy_match,how are you???,¿Cómo estás?,0.9230769230769231,0
diacritics_applied,swahili,exact_match,thank you,Asante,,0
diacritics_applied,swahili,exact_match,thank you,Asante,,0
diacritics_applied,french,fuzzy_match,hellooo,Bonjour,0.8333333333333334,0
diacritics_applied,hausa,fuzzy_match,iamlearning,Ina koyo,0.9166666666666666,0
diacritics_applied,portuguese,fuzzy_match,h0w are y0u?,Como você está?,0.8333333333333334,0
diacritics_applied,german,fuzzy_match,iamlearning,Ich lerne,0.9166666666666666,0
diacritics_applied,spanish,fuzzy_match,i @m le@rning,Estoy aprendiendo,0.8461538461538461,0
diacritics_applied,hausa,exact_match,hello,Sannu,,0
diacritics_applied,hausa,exact_match,hello,Sannu,,0
diacritics_applied,arabic,fuzzy_match,good morninggg,صباح الخير,0.9230769230769231,0
diacritics_applied,french,fuzzy_match,how are you,Comment ça va?,0.9565217391304348,0
diacritics_applied,swahili,fuzzy_match,h0w are y0u?,Habari gani?,0.8333333333333334,0
diacritics_applied,vietnamese,fuzzy_match,i aam leaarning,Tôi đang học,0.9285714285714286,0
diacritics_applied,igbo,fuzzy_match,hell0,Ndewo,0.8,0
diacritics_applied,french,fuzzy_match,iamlearning,J'apprends,0.9166666666666666,0
diacritics_applied,arabic,fuzzy_match,how are you,كيف حالك؟,0.9565217391304348,0
diacritics_applied,igbo,fuzzy_match,h0w are y0u?,Kedu?,0.8333333333333334,0
diacritics_applied,vietnamese,fuzzy_match,h0w are y0u?,Bạn khỏe không?,0.8333333333333334,0
diacritics_applied,portuguese,fuzzy_match,godo morning,Bom dia,0.9166666666666666,0
diacritics_applied,spanish,exact_match,thank you,Gracias,,0
diacritics_applied,spanish,exact_match,thank you,Gracias,,0
diacritics_applied,yoruba,fuzzy_match,th@nk you,Ẹ ṣé,0.8888888888888888,0
diacritics_applied,swahili,exact_match,good morning,Habari ya asubuhi,,0
diacritics_applied,swahili,exact_match,good morning,Habari ya asubuhi,,0
diacritics_applied,yoruba,fuzzy_match,godo morning,Ẹ káàrọ̀,0.9166666666666666,0
diacritics_applied,swahili,fuzzy_match,how aare you?,Habari gani?,0.96,0
diacritics_applied,hausa,fuzzy_match,h0w are y0u?,Lafiya lau?,0.8333333333333334,0
diacritics_applied,german,fuzzy_match,i am learninggg,Ich lerne,0.9285714285714286,0
diacritics_applied,french,fuzzy_match,i am learninggg,J'apprends,0.9285714285714286,0
diacritics_applied,spanish,fuzzy_match,i ma learning,Estoy aprendiendo,0.9230769230769231,0
diacritics_applied,arabic,fuzzy_match,g00d m0rning,صباح الخير,0.75,0
diacritics_applied,yoruba,fuzzy_match,hll,Báwo,0.75,0
diacritics_applied,swahili,fuzzy_match,how are you,Habari gani?,0.9565217391304348,0
diacritics_applied,yoruba,fuzzy_match,thank youuu,Ẹ ṣé,0.9,0
diacritics_applied,hausa,fuzzy_match,hell0,Sannu,0.8,0
diacritics_applied,portuguese,fuzzy_match,how @re you?,Como você está?,0.9166666666666666,0
diacritics_applied,vietnamese,fuzzy_match,thaank you,Cảm ơn,0.9473684210526315,0
diacritics_applied,vietnamese,fuzzy_match,i @m le@rning,Tôi đang học,0.8461538461538461,0
diacritics_applied,arabic,fuzzy_match,h0w are y0u?,كيف حالك؟,0.8333333333333334,0
diacritics_applied,portuguese,exact_match,how are you?,Como você está?,,0
diacritics_applied,portuguese,exact_match,how are you?,Como você está?,,0
diacritics_applied,vietnamese,fuzzy_match,ho ware you?,Bạn khỏe không?,0.9166666666666666,0
diacritics_applied,igbo,fuzzy_match,godo morning,Ụtụtụ ọma,0.9166666666666666,0
diacritics_applied,portuguese,fuzzy_match,hll,Olá,0.75,0
diacritics_applied,swahili,fuzzy_match,gd mrnng,Habari ya asubuhi,0.8,0
diacritics_applied,igbo,exact_match,hello,Ndewo,,0
diacritics_applied,igbo,exact_match,hello,Ndewo,,0
diacritics_applied,hausa,fuzzy_match,i ma learning,Ina koyo,0.9230769230769231,0
diacritics_applied,vietnamese,exact_match,good morning,Chào buổi sáng,,0
diacritics_applied,vietnamese,exact_match,good morning,Chào buổi sáng,,0
diacritics_applied,french,fuzzy_match,i @m le@rning,J'apprends,0.8461538461538461,0
diacritics_applied,igbo,fuzzy_match,goodmorning,Ụtụtụ ọma,0.9565217391304348,0
diacritics_applied,arabic,fuzzy_match,goodmorning,صباح الخير,0.9565217391304348,0
diacritics_applied,german,exact_match,i am learning,Ich lerne,,0
diacritics_applied,german,exact_match,i am learning,Ich lerne,,0
diacritics_applied,swahili,fuzzy_match,godo morning,Habari ya asubuhi,0.9166666666666666,0
diacritics_applied,german,fuzzy_match,h0w are y0u?,Wie geht's?,0.8333333333333334,0
diacritics_applied,arabic,fuzzy_match,how are you???,كيف حالك؟,0.9230769230769231,0
diacritics_applied,spanish,fuzzy_match,hll,Hola,0.75,0
diacritics_applied,french,fuzzy_match,hll,Bonjour,0.75,0
diacritics_applied,german,fuzzy_match,hll,Hallo,0.75,0
diacritics_applied,swahili,fuzzy_match,ho ware you?,Habari gani?,0.9166666666666666,0
diacritics_applied,french,fuzzy_match,th@nk you,Merci,0.8888888888888888,0
diacritics_applied,arabic,exact_match,i am learning,أنا أتعلم,,0
diacritics_applied,arabic,exact_match,i am learning,أنا أتعلم,,0
diacritics_applied,german,fuzzy_match,how are you???,Wie geht's?,0.9230769230769231,0
diacritics_applied,yoruba,fuzzy_match,ho ware you?,Báwo ní?,0.9166666666666666,0
diacritics_applied,igbo,fuzzy_match,thnak you,Daalụ,0.8888888888888888,0
diacritics_applied,hausa,fuzzy_match,how aare you?,Lafiya lau?,0.96,0
diacritics_applied,french,fuzzy_match,thnak you,Merci,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,thnk y,Danke,0.8,0
diacritics_applied,igbo,fuzzy_match,thnk y,Daalụ,0.8,0
