id,mode,language,level,scenario,prompt
tutor_auto_0000,tutor,hausa,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in Hausa. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0001,tutor,german,advanced,thank you (to a stranger),"Provide advanced usage of 'Thank you' in German, include register differences and 2 practice sentences."
tutor_auto_0002,tutor,igbo,advanced,i am learning (in the morning),"Provide advanced usage of 'I am learning' in Igbo, include register differences and 2 practice sentences."
tutor_auto_0003,tutor,swahili,intermediate,thank you (to a stranger),Explain the phrase 'Thank you' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0004,tutor,german,beginner,thank you (in a shop),"Teach how to say 'Thank you' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0005,tutor,arabic,beginner,i am learning (to a stranger),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0006,tutor,french,beginner,i am learning (in a shop),"Teach how to say 'I am learning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0007,tutor,swahili,advanced,i am learning (to an elder),"Provide advanced usage of 'I am learning' in Swahili, include register differences and 2 practice sentences."
tutor_auto_0008,tutor,german,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0009,tutor,igbo,intermediate,good morning (formal),Explain the phrase 'Good morning' in Igbo with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0010,tutor,yoruba,beginner,hello (to a friend),"Teach how to say 'Hello' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0011,tutor,german,advanced,how are you? (casual),"Provide advanced usage of 'How are you?' in German, include register differences and 2 practice sentences."
tutor_auto_0012,tutor,yoruba,beginner,thank you (to a stranger),"Teach how to say 'Thank you' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0013,tutor,german,beginner,how are you? (in a shop),"Teach how to say 'How are you?' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0014,tutor,vietnamese,beginner,hello (to an elder),"Teach how to say 'Hello' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0015,tutor,vietnamese,advanced,good morning (in the morning),"Provide advanced usage of 'Good morning' in Vietnamese, include register differences and 2 practice sentences."
