word,meaning,pos,example,unit,lesson_id,lesson_title
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,1,Nigerian Pidgin-A2-u1-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,1,Nigerian Pidgin-A2-u1-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,1,Nigerian Pidgin-A2-u1-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,1,Nigerian Pidgin-A2-u1-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,1,Nigerian Pidgin-A2-u1-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,1,Nigerian Pidgin-A2-u1-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,1,Nigerian Pidgin-A2-u1-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,1,Nigerian Pidgin-A2-u1-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,1,Nigerian Pidgin-A2-u1-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,1,Nigerian Pidgin-A2-u1-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,1,Nigerian Pidgin-A2-u1-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,1,Nigerian Pidgin-A2-u1-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,2,Nigerian Pidgin-A2-u2-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,2,Nigerian Pidgin-A2-u2-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,2,Nigerian Pidgin-A2-u2-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,2,Nigerian Pidgin-A2-u2-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,2,Nigerian Pidgin-A2-u2-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,2,Nigerian Pidgin-A2-u2-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,2,Nigerian Pidgin-A2-u2-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,2,Nigerian Pidgin-A2-u2-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,2,Nigerian Pidgin-A2-u2-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,2,Nigerian Pidgin-A2-u2-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,2,Nigerian Pidgin-A2-u2-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,2,Nigerian Pidgin-A2-u2-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,3,Nigerian Pidgin-A2-u3-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,3,Nigerian Pidgin-A2-u3-l1,Lesson 1 — Basics
